Paper Title,Extracted Sentence
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"the transformed data is feed into the encoders e 1/2 as shown in the following equations: , p 1 (g e ), p 2 (i e ), p 2 (g e ), when i e , g e ∈ s e ."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,region-preserving attention module.
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"although introducing the esophageal structural prior knowledge using s e can improve the performance in dsc and asd (table  however, there is no performance gain with mha as shown in table  to tackle the aforementioned problem, we propose ram which involves the concatenation of the original features with attention outputs, allowing for the preservation of convolution-generated regional tumor patterns while effectively comprehending long-range prior knowledge specific to the esophagus."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"finally, our proposed artseg with ram achieves the best dsc/hsd of 75.26%/19.75 mm, and outperforms its ablations as well as other baselines, as shown in table  limitations."
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,"lung cancer is one of the most fatal diseases worldwide, and early diagnosis of the pulmonary nodule has been identified as an effective measure to prevent lung cancer."
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,"deep learning-based methods for lung nodule classification have been widely studied in recent years  however, the aforementioned methods still face challenges in distinguishing visually similar samples with adjacent rank labels."
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,"for example, in fig."
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,computer-aided diagnosis systems (cad) using deep learning models have shown promise in accurate and efficient skin lesion diagnosis.
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,"however, recent research has revealed that the success of these models may be a result of overly relying on ""spurious cues"" in dermoscopic images, such as rulers, gel bubbles, dark corners, and hairs  to alleviate the artifact bias and enhance the model's generalization ability, we rethink the problem from the domain generalization (dg) perspective, where a model trained within multiple different but related domains are expected to perform well in unseen test domains."
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,as illustrated in fig.
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,"previous dg algorithms learning domain-invariant features from source domains have succeeded in natural image tasks  to overcome the above problems, we propose an environment-aware prompt vision transformer (epvt) for domain generalization of skin lesion recognition."
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,"on the one hand, inspired by the emerging prompt learning techniques that embed prompts into a model for adaptation to diverse downstream tasks  our contributions can be summarized as:  (3) a domain mixup strategy is devised to reduce the co-artifacts specific to dermoscopic images; (4) extensive experiments on four out-of-distribution skin datasets and six biased isic datasets demonstrate the outperforming generalization ability and robustness of epvt under heterogeneous distribution shifts."
Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,none
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"breast cancer is a serious health problem with high incidence and wide prevalence for women throughout the world  therefore, there is a high demand for automatic and robust methods to achieve accurate breast tumor segmentation."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"however, due to speckle noise and shadows in ultrasound images, breast tumor boundaries tend to be blurry and are difficult to be distinguished from background."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"furthermore, the boundary and size of breast tumors are always variable and irregular  various approaches based on deep learning have been developed for tumor segmentation with promising results  to address these challenges, we present, to the best of our knowledge, the first work to adopt multi-scale features collected from large set of clinical ultrasound images for breast tumor segmentation."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,the main contributions of our work are as follows:  we collected 10927 cases for this research from yunnan cancer hospital.
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,five-fold cross validation is performed on the dataset in all experiments to verify our proposed network.
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"for external validation, we further test our model on two independent publicly-available datasets collected by stu-hospital (dataset 1)  to verify the advantages of our proposed model for breast tumor segmentation in ultrasound images, we compare our deep-supervised convolutional network with the state-ofthe-art tumor segmentation methods, including deepres  representative segmentation results using different methods are provided in fig."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"in this paper, we have developed a large pre-trained model for breast tumor segmentation from ultrasound images."
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,none
Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,conditional autoencoder.
Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,"we developed a conditional autoencoder (cae) to solve the b 1 inhomogeneity problem, which is essential for the generation of metabolic cest contrast maps at 7t."
Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,the left part of fig.
Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,none
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"the major contributions of this study include 1) directed triangle construction idea for tpp, 2) huge number of tpp matrices as the heterogeneity representations of bp, 3) tppnet with 15 layers and huge number of channels, 4) the bp dataset containing mr images and their corresponding roi masks."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"following irb approval for this study, we search for patients with metastatic breast cancer who had a breast cancer mri performed between 2010 and 2020 and had morphologically positive bp on the mri report from our electronic medical records (emr) in * hospital."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"totally, we collect approximate 807 series which include 274 t2, 254 t1 and 279 post-gadolinium."
CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,none
Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,none
Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,none
Prompt-Based Grouping Transformer for Nucleus Detection and Classification,none
Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,none
atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,none
B-Cos Aligned Transformers Learn Human-Interpretable Features,task-based evaluation: cancer classification and segmentation is an important first step for many downstream tasks such as grading or staging.
B-Cos Aligned Transformers Learn Human-Interpretable Features,"therefore, we choose this problem as our target."
B-Cos Aligned Transformers Learn Human-Interpretable Features,we classify image patches from the public colorectal cancer dataset nct-crc-he-100k  domain-expert evaluation: our primary objective is to develop an extension of the vision transformer that is more transparent and trusted by medical professionals.
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"second, resting-state fmri data are not routinely collected for gbm clinical practices, which restricts the size of annotated datasets such that it is infeasible to train a reliable prediction model based on deep learning for survival prediction."
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"in order to circumvent these issues, in this paper we introduce a novel neuroimaging feature family, namely functional lesion network (fln) maps that are generated by our augmented lesion network mapping (a-lnm), for overall survival time prediction of gbm patients."
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,our a-lnm is motivated by lesion network mapping (lnm)  the details of our workflow are described as follows.
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"to evaluate the predictive power of the fln maps generated by our a-lnm, we conduct extensive experiments on 235 gbm patients in the training dataset of brats 2020  2.1 materials gsp1000 processed connectome."
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,it publicly released preprocessed restingstate fmri data of 1000 healthy right-handed subjects with an average age 21.5 ± 2.9 years and approximately equal numbers of males and females from the brain genomics superstruct project (gsp)  brats 2020.
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"it provided an open-access pre-operative imaging training dataset to segment brain tumors of glioblastoma (gbm, belonging to high grade glioma) and low grade glioma (lgg) patients, as well as to predict overall survival time of gbm patients  the union of all the three tumor sub-regions was considered as the whole tumor, which is regarded as the lesion in this paper."
Intraoperative CT Augmentation for Needle-Based Liver Interventions,"needle-based liver tumor ablation techniques (e.g., radiofrequency, microwave, laser, cryoablation) have a great potential for local curative tumor control  in standard clinical settings, the insertion of each needle requires multiple check points during its progression, fine-tune maneuvers, and eventual repositioning."
Intraoperative CT Augmentation for Needle-Based Liver Interventions,"this leads to multiple ct acquisitions to control the progression of the needle with respect to the vessels, the target, and other sensible structures  to address this challenge, two main strategies could be considered: image fusion and image processing techniques."
Intraoperative CT Augmentation for Needle-Based Liver Interventions,"image fusion typically relies on the estimation of rigid or non-rigid transformations between 2 images, to bring into the intraoperative image structures of interest only visible in the preoperative data."
Intraoperative CT Augmentation for Needle-Based Liver Interventions,"this process is often described as an optimization problem  on the other hand, deep learning techniques have proven to be very efficient at solving image processing challenges  in this paper we propose an alternative approach, where a neural network learns local image features in a ncct image by leveraging the known preoperative vessel tree geometry and topology extracted from a matching (undeformed) cct."
Intraoperative CT Augmentation for Needle-Based Liver Interventions,"then, the augmented ct is generated by fusing the deformed vascular tree with the non-contrasted intraoperative ct."
Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue,none
Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,"pelvic fracture is a severe type of high-energy injury, with a fatality rate greater than 50%, ranking the first among all complex fractures  several studies have been proposed to provide more efficient tools for operators."
Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,"a semi-automatic graph-cut method based on continuous max-flow has been proposed for pelvic fracture segmentation, but it still requires the manual selection of seed points and trail-and-error  fracture segmentation is still a challenging task for the learning-based method because (1) compared to the more common organ/tumor segmentation tasks where the model can implicitly learn the shape prior of an object, it is difficult to learn the shape information of a bone fragment due to the large variations in fracture types and shapes  this paper proposes a deep learning-based method to segment pelvic fracture fragments from preoperative ct images automatically."
Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,our major contribution includes three aspects.
Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,none
Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,"this information is potentially valuable for making intraoperative decisions, particularly in cases where tissue differentiation is critical but challenging to perform using traditional visualisation techniques."
Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,"in the case of brain tumour excision, fluorescence-guided resection is commonly used to minimize damage to healthy tissue  while hsi has been integrated into surgical microscope systems  the issue of reduced focal depth in real-time hsi systems could be mitigated by the introduction of a video autofocus system."
Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,"autofocus methods are divided into active methods, which use transmission to probe the scene, and passive methods, which rely only on incoming light."
Surgical Video Captioning with Mutual-Modal Concept Alignment,"to evaluate the effectiveness of surgical video captioning, we collect a large-scale dataset with 41 surgical videos of endonasal skull base neurosurgery."
Surgical Video Captioning with Mutual-Modal Concept Alignment,"these surgical videos are recorded at the prince of wales hospital, chinese university of hong kong, where surgeons remove pituitary tumors through the endonasal corridor to the skull base."
Surgical Video Captioning with Mutual-Modal Concept Alignment,"after necessary data cleaning, we divide these surgical videos with resolution of 1, 920× 1, 080 into 11, 004 thirty-second video clips with clear surgical purposes."
Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,none
Learning Expected Appearances for Intraoperative Registration During Neurosurgery,we address the important problem of intraoperative patient-to-image registration in a new way by relying on preoperative data to synthesize plausible transformations and appearances that are expected to be found intraoperatively.
Learning Expected Appearances for Intraoperative Registration During Neurosurgery,"in particular, we tackle intraoperative 3d/2d registration during neurosurgery, where preoperative mri scans need to be registered with intraoperative surgical views of the brain surface to guide neurosurgeons towards achieving a maximal safe tumor resection  most existing techniques perform patient-to-image registration using intraoperative mri  the main limitation of existing intraoperative registration methods is that they rely heavily on processing intraoperative images to extract image features (eg., 3d surfaces, vessels centerlines, contours, or other landmarks) to drive registration, making them subject to noise and low-resolution images that can occur in the operating room  clinical feasibility."
Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation,none
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"residual tumor in the cavity after head and neck cancer (hnc) surgery is a significant concern as it increases the risk of cancer recurrence and can negatively impact the patient's prognosis  during transoral robotic surgery (tors), surgeons may assess the surgical margin via visual inspection, palpation of the excised specimen and intraoperative frozen sections analysis (ifsa)  label-free mesoscopic fluorescence lifetime imaging (flim) has been demonstrated as an intraoperative imaging guidance technique with high classification performance (auc = 0.94) in identifying in vivo tumor margins at the epithelial surface prior to tumor excision  however, ability of label-free flim to identify residual tumors in vivo in the surgical cavity (deep margins) has not been reported."
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,one significant challenge in developing a flim-based classifier to detect tumor in the surgical cavity is the presence of highly imbalanced labels.
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"surgeons aim to perform an en bloc resection, removing the entire tumor and a margin of healthy tissue around it to ensure complete excision."
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"therefore, in most cases, only healthy tissue in left in the cavity."
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"to address the technical challenge of highly imbalanced label distribution and the need for intraoperative real-time cavity imaging, we developed an intraoperative flim guidance model to identify residual tumors by classifying residual cancer as anomalies."
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,our proposed approach identified all patients with psm.
FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,none
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"cancer remains a significant public health challenge worldwide, with a new diagnosis occurring every two minutes in the uk (cancer research uk  it is crucial to accurately determine the sensing area, with positive signal potentially indicating cancer or affected lymph nodes."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"geometrically, the sensing area is defined as the intersection point between the gamma probe axis and the tissue surface in 3d space, but projected onto the 2d laparoscopic image."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"similarly, it is also challenging to acquire the probe pose during the surgery."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,problem redefinition.
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"in this study, in order to provide sensing area visualization ground truth, we modified a non-functional 'sensei' probe by adding a miniaturized laser module to clearly optically indicate the sensing area on the laparoscopic images -i.e."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"our system consists of four main components: a customized stereo laparoscope system for capturing stereo images, a rotation stage for automatic phantom movement, a shutter for illumination control, and a daq-controlled switchable laser module (see fig."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"to validate our proposed solution for the newly formulated problem, we acquired and publicly released two new datasets."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"in this section, we introduce the hardware and software design that was used to achieve our final goal, while fig."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"therefore, our first newly acquired dataset, named jerry, contains 1200 sets of images."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"since it is important to report errors in 3d and in millimeters, we recorded another dataset similar to jerry but also including ground truth depth map for all frames by using structured-lighting system  these datasets have multiple uses such as: -intersection point detection: detecting intersection points is an important problem that can bring accurate surgical cancer visualization."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,we believe this is an under-investigated problem in surgical vision.
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,-tool segmentation: corresponding ground truth will be released.
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"in this work, a new framework for using a laparoscopic drop-in gamma detector in manual or robotic-assisted minimally invasive cancer surgery was presented, where a laser module mock probe was utilized to provide training guidance and the problem of detecting the probe axis-tissue intersection point was transformed to laser point position inference."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,both the hardware and software design of the proposed solution were illustrated and two newly acquired datasets were publicly released.
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"extensive experiments were conducted on various backbones and the best results were achieved using a simple network design, enabling real time inference of the sensing area."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"we believe that our problem reformulation and dataset release, together with the initial experimental results, will establish a new benchmark for the surgical vision community."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"on the other hand, surgeons may miss stones and tumors and unsuccessfully orientate the ureteroscope inside the kidneys due to limited field of views, just 2d images without depth information, and the complex anatomical structure of the kidneys."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"to this end, ureteroscope tracking and navigation is increasingly developed as a promising tool to solve these issues."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,many researchers have developed various methods to boost endoscopic navigation.
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,han et al.
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"although these methods mentioned above work well, ureteroscopic navigation is still a challenging problem."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"compared to other endoscopes such as colonoscope and bronchoscope, the diameter of the ureteroscope is smaller, resulting in more limited lighting source and field of view."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"particularly, ureteroscopy involves much solids (impurities) and fluids (liquids), making ureteroscopic video images low-quality, as well as these solids and fluids inside the kidneys cannot be regularly observed in computed tomography (ct) images."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"on the other hand, the complex internal structures such as calyx, papilla, and pyramids of the kidneys are difficult to be observed in ct images."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"these issues introduce a difficulty in directly aligning ureteroscopic video sequences to ct images, leading to a challenge of image-based continuous ureteroscopic navigation."
Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,"on the other hand, various polyps and adenomas with different pathological features have similar visual characteristics to intestinal folds."
Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,"to address these issues mentioned above, we explore a new deep learning architecture called cascade transformer encoded boundary-aware multibranch fusion (ctbmf) networks with cascade transformers and multibranch fusion for polyp and adenoma segmentation in colonoscopic white-light and narrow-band video images."
Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,several technical highlights of this work are summarized as follows.
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,"however, as noted in  medical image synthesis aims to predict missing images given available images."
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,"deep-learning based methods have reached the highest level of performance  to tackle this challenge, unified approaches have been proposed."
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,"these approaches are designed to have the flexibility to handle incomplete image sets as input, improving practicality as only one network is used for generating missing images."
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,"third, adversarial learning is employed to generate realistic image synthesis."
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,"finally, experiments on the challenging problem of ius and mr synthesis demonstrate the effectiveness of the proposed approach, enabling the synthesis of high-quality images while establishing a mathematically grounded formulation for unified image synthesis and outperforming non-unified gan-based approaches and the state-of-the-art method for unified multi-modal medical image synthesis."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"the theoretical spacing between each slice is 5 mm, and the typical pixel size before downsampling is 100k × 100k."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"two expert radiation oncologists on ct delineated both the thyroid and cricoid cartilages for structure awareness and the gross tumor volume (gtv) for clinical validation, while two expert pathologists did the same on wsis."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,they then meet and agreed to place 6 landmarks for each slice at important locations (not used for training).
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"concerning the gpu runtime, with a 3-step cascade for initialization, the inference remains in a similar time scale to baseline methods and performs mapping in less than 3s."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"we also compared against msv-regsynnet on its own validation dataset for generalization assessment: we yielded comparable results for the first cohort and significantly better ones for the second, which proves that structuregnet behaves well on other modalities and that the structure awareness is an essential asset for better registration, as pelvis is a location where organs are moving."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,visuals of registration results are displayed in the supplementary material.
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,"this can improve image-guided therapies and preoperative planning, especially for radiotherapy, which requires precise patient positioning with minimal radiation exposure."
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,"however, this task is an ill-posed inverse problem: x-ray measurements are the result of attenuation integration across the body, which makes them very fig."
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,ambiguous.
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,traditional reconstruction methods require hundreds of projections to get sufficient constraints on the internal structures.
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,"with very few projections, it is very difficult to disentangle the structures for even coarse 3d estimation."
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,"in other words, many 3d volumes may have generated such projections a priori."
Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,none
FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,"for the former, few work has investigated the fact that the artifacts exhibit similar pattern across different sparseview scenarios, which is evident in fourier domain as shown in fig."
FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,"while fourier domain band-pass maps help capture the pattern of the artifacts, restoring the image detail contaminated by strong artifacts may still be difficult due to the entanglement of artifacts and details in the residues."
FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,"consequently, we propose a self-guided artifact refinement network (seednet) that provides supervision signals to aid freenet in refining the image details contaminated by the artifacts."
Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,none
Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,none
An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,none
Geometric Ultrasound Localization Microscopy,"however, the necessity of beamforming for ulm remains questionable."
Geometric Ultrasound Localization Microscopy,our work challenges the conventional assumption that beamforming is the ideal processing step for ulm and presents an alternative approach based on geometric reconstruction from time-of-arrival (toa) information.
Geometric Ultrasound Localization Microscopy,"the discovery of ulm has recently surpassed the diffraction-limited spatial resolution and enabled highly detailed visualization of the vascularity  while contrast-enhanced ultra-sound (ceus) is used in the identification of musculoskeletal soft tissue tumours  for ulm to investigate its potential to refine mb localization  to this end, we propose an alternative approach for ulm, outlined in fig."
Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras,none
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"in this experiment, we evaluate the performance of different methods for estimating affine registration of the retrospective evaluation of cerebral tumors (resect) miccai challenge dataset  as the most challenging experiment, we finally use our method to achieve deformable registration of abdominal 3d freehand us to a ct or mr volume."
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"we are using a heterogeneous dataset of 27 cases, comprising liver cancer patients and healthy volunteers, different ultrasound machines, as well as optical vs."
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"in order to measure the capture range, we start the registration from 50 random rigid poses around the ground truth and calculate the fiducial registration error (fre) after optimization."
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"for local optimization, lc 2 is used in conjunction with bobyqa  from the results shown in table  note that this registration problem is much more challenging than the prior two due to difficult ultrasonic visibility in the abdomen, strong deformations, and ambiguous matches of liver vasculature."
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"therefore, to the best of our knowledge, these results present a significant leap towards reliable and fully automatic fusion, doing away with cumbersome manual landmark placements."
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,datasets.
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"first, our proposed approaches are evaluated on the ""mayo-clinic low-dose ct grand challenge"" (mayo-clinic) dataset of lung ct images  the dataset contains 2250 two dimensional slices from 9 patients for training, and the remaining 128 slices from 1 patient are reserved for testing."
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"the lowdose measurements are simulated by parallel-beam x-ray with 200 (or 150) uniform views, i.e., n v = 200 (or n v = 150), and 400 (or 300) detectors, i.e., n d = 400 (or n d = 300)."
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,a similar increasing trend with our approach across different settings but has worse reconstruction quality.
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"to evaluate the stability and generalization of our model and the baselines trained on mayo-clinic dataset, we also test them on the rider dataset."
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"the results are shown in table  to illustrate the reconstruction performances more clearly, we also show the reconstruction results for testing images in fig."
Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"as the surrounding normal tissue is also sensitive to radiation, highly accurate delivery is vital."
Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"image guided rt (igrt) is a technique to capture the anatomy of the day using in room imaging in order to align the treatment beam with the tumor location  a major challenge especially for cbct imaging of the thorax and upperabdomen is the respiratory motion that introduces blurring of the anatomy, reducing the localization accuracy and the sharpness of the image."
Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"a technique used to alleviate motion artifacts is respiratory correlated cbct (4dcbct)  several traditional methods based on iterative reconstruction algorithms and motion compensation techniques are used to reduce view-aliasing in 4dcbcts  deep learning has been proposed as a way to address view-aliasing with accelerated reconstruction  a different method, called noise2inverse, uses an unsupervised approach to reduce measurement noise in the traditional ct setting  we propose noise2aliasing to address these limitations."
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,"liver cancer is the most prevalent indication for liver surgery, and although there have been notable advancements in oncologic therapies, surgery remains as the only curative approach overall  liver laparoscopic resection has demonstrated fewer complications compared to open surgery  performing ious during laparoscopic liver surgery poses significant challenges, as laparoscopy has poor ergonomics and narrow fields of view, and on the other hand, ious demands skills to manipulate the probe and analyze images."
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,"at the end, and despite its real-time capabilities, ious images are intermittent and asynchronous to the surgery, requiring multiple iterations and repetitive steps (probe-in -→ instruments-out -→ probe-out -→ instruments-in)."
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,"physics-based methods have exploited speckle correlation models between different adjacent frames  our method improves upon previous solutions in terms of robustness and accuracy, particularly in the presence of rotational motion."
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,such motion is predominant in the context highlighted above and is the source of additional nonlinearity in the pose estimation problem.
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,"to the best of our knowledge, this is the first work that provides a clinically sound and efficient 3d us volume reconstruction during minimally invasive procedures."
CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis,"magnetic resonance imaging (mri) is critical to the diagnosis, treatment, and follow-up of brain tumour patients  management  despite the success, gan-based models are challenged by the limited capability of adversarial learning in modelling complex multi-modal data distributions  diffusion model (dm) has achieved state-of-the-art performance in synthesizing natural images, promising to improve mri synthesis models."
CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis,"it shows superiority in model training  however, current dm-based methods focus on one-to-one mri translation, promising to be improved by many-to-one methods, which requires dedicated design to balance the multiple conditions introduced by multi-modal mri."
