,title,extracted_dataset_sent,
400,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"we suppose that this is due to the fact that the additional loss of the
dual-stream architecture exhibits a valuable regularization tool to reduce the
amount of needed training data.",
401,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with the proposed intra-mixup augmentation strategy, this effect diminishes,
since the amount and quality of training data is increased.",
402,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"to conclude, we proposed novel data augmentation strategies based on the idea of
interpolations of image descriptors in the mil setting.",
403,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"in the future, additional experiments will be conducted including stain
normalization methods and larger benchmark data sets to provide further
insights.",
404,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"breast cancer (bc) is the most common cancer diagnosed among females and the
second leading cause of cancer death among women after lung cancer among
different types of imaging biomarkers, histopathological images are generally
considered the golden standard for bc prognosis since they can confer important
cell-level information that can reflect the aggressiveness of bc to deal with
the above challenges, several researchers began to design domain adaption
algorithms, which utilize the labeled data from a related cancer subtype to help
predict the patients' survival in the target domain.",
405,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"next, we aligned the aggregated tumor or tils features from the two domains
separately using maximum mean discrepancy(mmd) here, we adopted mmd for feature
alignment due to its ability to measure the distance between two distributions
without explicit assumptions on the data distribution, we showed the objective
function of mmd in our method as follows: where h is a hilbert space, f
represents the features from the source, f represents the feature from the
target, r represents the layer number, k ∈ {l, t } referred to tils or tumor
node.",
406,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"in order to measure the dissimilarity between p i and q i , the kullback-leibler
(kl) divergence is adapted on the third layer of gat, which can be formulated
as: according to eq.( datasets.",
407,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"we conducted our experiments on the breast invasive carcinoma (brca) dataset
from the cancer genome atlas (tcga).",
408,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"specifically, the brca dataset includes 661 patients with hematoxylin and eosin
(he)-stained pathological imaging and corresponding survival information.",
409,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"breast cancer (bc) is the most common cancer diagnosed among females and the
second leading cause of cancer death among women after lung cancer among
different types of imaging biomarkers, histopathological images are generally
considered the golden standard for bc prognosis since they can confer important
cell-level information that can reflect the aggressiveness of bc to deal with
the above challenges, several researchers began to design domain adaption
algorithms, which utilize the labeled data from a related cancer subtype to help
predict the patients' survival in the target domain.",
410,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"next, we aligned the aggregated tumor or tils features from the two domains
separately using maximum mean discrepancy(mmd) here, we adopted mmd for feature
alignment due to its ability to measure the distance between two distributions
without explicit assumptions on the data distribution, we showed the objective
function of mmd in our method as follows: where h is a hilbert space, f
represents the features from the source, f represents the feature from the
target, r represents the layer number, k ∈ {l, t } referred to tils or tumor
node.",
411,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"in order to measure the dissimilarity between p i and q i , the kullback-leibler
(kl) divergence is adapted on the third layer of gat, which can be formulated
as: according to eq.( datasets.",
412,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"we conducted our experiments on the breast invasive carcinoma (brca) dataset
from the cancer genome atlas (tcga).",
413,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"specifically, the brca dataset includes 661 patients with hematoxylin and eosin
(he)-stained pathological imaging and corresponding survival information.",
414,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"furthermore, to model the high-order relevance of the two modalities, we combine
cls tokens of paired image and genomic data to form unified representations and
propose a triplet learning module to differentiate patient-level positive and
negative samples in a mini-batch.",
415,Gene-Induced Multimodal Pre-training for Image-Omic Classification,datasets.,
416,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"we verify the effectiveness of our method on the caner genome atlas (tcga)
non-small cell lung cancer (nsclc) dataset, which contains two cancer subtypes,
i.e., lung squamous cell carcinoma (lusc) and lung adenocarcinoma (luad).",
417,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"the pre-training process of all algorithms is conducted on the training set,
without any extra data augmentation.",
418,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"note that our genetic encoder, groupmsa, is fully supervised pre-trained on
unimodal genetic data to accelerate convergence and it is frozen during gimp
training process.",
419,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"furthermore, to model the high-order relevance of the two modalities, we combine
cls tokens of paired image and genomic data to form unified representations and
propose a triplet learning module to differentiate patient-level positive and
negative samples in a mini-batch.",
420,Gene-Induced Multimodal Pre-training for Image-Omic Classification,datasets.,
421,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"we verify the effectiveness of our method on the caner genome atlas (tcga)
non-small cell lung cancer (nsclc) dataset, which contains two cancer subtypes,
i.e., lung squamous cell carcinoma (lusc) and lung adenocarcinoma (luad).",
422,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"the pre-training process of all algorithms is conducted on the training set,
without any extra data augmentation.",
423,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"note that our genetic encoder, groupmsa, is fully supervised pre-trained on
unimodal genetic data to accelerate convergence and it is frozen during gimp
training process.",
424,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the dataset for the former task was collected from 168 patients with 332 wsis
from seoul national university hospital.",
425,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the liver cancer dataset for the latter task was composed of 323 wsis, in which
the wsis can be further classified into hepatocellular carcinomas (hccs)
(collected from pathology ai platform we used a pre-trained vgg16 with imagenet
as the initial encoder, which was further modified via deep manifold model
training using the proposed manifold and cross-entropy loss functions.",
426,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the dataset for the former task was collected from 168 patients with 332 wsis
from seoul national university hospital.",
427,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the liver cancer dataset for the latter task was composed of 323 wsis, in which
the wsis can be further classified into hepatocellular carcinomas (hccs)
(collected from pathology ai platform we used a pre-trained vgg16 with imagenet
as the initial encoder, which was further modified via deep manifold model
training using the proposed manifold and cross-entropy loss functions.",
428,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"-we developed a comprehensive pipeline for constructing tumor-associated stroma
datasets across multiple data sources, and employed adversarial training and
neighborhood consistency regularization techniques to learn robust
multimodal-invariant image representations.",
429,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"however, using data from multiple modalities can introduce systematic shifts,
which can impact the performance of a deep learning model.",
430,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"the optimization process aims to achieve a balance between these two goals,
resulting in an embedding space that encodes as much information as possible
about tumor-associated stroma identification while not encoding any information
on the data source.",
431,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"in our study, we utilized three datasets for tumor-associated stroma analysis.",
432,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"(1) dataset a comprises 513 tiles extracted from the whole mount slides of 40
patients, sourced from the archives of the pathology department at cedars-sinai
medical center (irb# pro00029960).",
433,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"it combines two sets of tiles: 224 images from 20 patients featuring stroma,
normal glands, low-grade and highgrade cancer (2) dataset b included 97 whole
mount slides with an average size of over 174,000×142,000 pixels at 40x
magnification.",
434,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"(3) dataset c comprised 6134 negative biopsy slides obtained from 262 patients'
biopsy procedures, where all samples were diagnosed as negative.",
435,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,dataset a was utilized for training the stroma segmentation model.,
436,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"extensive data augmentation techniques, such as image scaling and staining
perturbation, were employed during the training process.",
437,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"this model was then applied to generate stroma masks for all slides in datasets
b and c.",
438,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"to precisely isolate stroma tissues and avoid data bleeding from epithelial
tissues, we only extracted patches where over 99.5% of the regions were
identified as stroma at 40x magnification to construct the stroma classification
dataset.",
439,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"to incorporate multi-modal information, we randomly sampled negative stroma
patches from all biopsy slides in dataset c.",
440,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"future research can focus on validating our approach on larger and more diverse
datasets and expanding the method to a patient-level prediction system,
ultimately improving prostate cancer diagnosis and treatment.",
441,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"-we developed a comprehensive pipeline for constructing tumor-associated stroma
datasets across multiple data sources, and employed adversarial training and
neighborhood consistency regularization techniques to learn robust
multimodal-invariant image representations.",
442,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"however, using data from multiple modalities can introduce systematic shifts,
which can impact the performance of a deep learning model.",
443,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"the optimization process aims to achieve a balance between these two goals,
resulting in an embedding space that encodes as much information as possible
about tumor-associated stroma identification while not encoding any information
on the data source.",
444,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"in our study, we utilized three datasets for tumor-associated stroma analysis.",
445,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"(1) dataset a comprises 513 tiles extracted from the whole mount slides of 40
patients, sourced from the archives of the pathology department at cedars-sinai
medical center (irb# pro00029960).",
446,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"it combines two sets of tiles: 224 images from 20 patients featuring stroma,
normal glands, low-grade and highgrade cancer (2) dataset b included 97 whole
mount slides with an average size of over 174,000×142,000 pixels at 40x
magnification.",
447,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"(3) dataset c comprised 6134 negative biopsy slides obtained from 262 patients'
biopsy procedures, where all samples were diagnosed as negative.",
448,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,dataset a was utilized for training the stroma segmentation model.,
449,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"extensive data augmentation techniques, such as image scaling and staining
perturbation, were employed during the training process.",
450,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"this model was then applied to generate stroma masks for all slides in datasets
b and c.",
451,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"to precisely isolate stroma tissues and avoid data bleeding from epithelial
tissues, we only extracted patches where over 99.5% of the regions were
identified as stroma at 40x magnification to construct the stroma classification
dataset.",
452,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"to incorporate multi-modal information, we randomly sampled negative stroma
patches from all biopsy slides in dataset c.",
453,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"future research can focus on validating our approach on larger and more diverse
datasets and expanding the method to a patient-level prediction system,
ultimately improving prostate cancer diagnosis and treatment.",
454,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,none,
455,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,none,
456,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"our experiments utilized two datasets, with the first being the publicly
available breast cancer dataset, camelyon16 the second dataset is a private
hepatocellular carcinoma (hcc) dataset collected from sir run run shaw hospital,
hangzhou, china.",
457,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"this dataset comprises a total of 1140 valid tumor wsis scanned at 40×
magnification, and the objective is to identify the severity of each case based
on the edmondson-steiner (es) grading.",
458,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"our experiments utilized two datasets, with the first being the publicly
available breast cancer dataset, camelyon16 the second dataset is a private
hepatocellular carcinoma (hcc) dataset collected from sir run run shaw hospital,
hangzhou, china.",
459,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"this dataset comprises a total of 1140 valid tumor wsis scanned at 40×
magnification, and the objective is to identify the severity of each case based
on the edmondson-steiner (es) grading.",
460,Artifact Restoration in Histology Images with Diffusion Probabilistic Models,none,
461,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"radiologists typically focus on areas with breast lesions during mammogram
reading radiologists' eye movements can be automatically and unobtrusively
recorded during the process of reading mammograms, providing a valuable source
of data without the need for manual labeling.",
462,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"previous studies have incorporated radiologists' eye-gaze as a form of weak
supervision, which directs the network's attention to the regions with possible
lesions mammography primarily detects two types of breast lesions: masses and
microcalcifications in this work, we propose a novel diagnostic model, namely
mammo-net, which integrates radiologists' gaze data and interactive information
between cc-view and mlo-view to enhance diagnostic performance.",
463,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"to the best of our knowledge, this is the first work to integrate gaze data into
multi-view mammography classification.",
464,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"• we demonstrate the effectiveness of our approach through experiments using
mammography datasets, which show the superiority of mammo-net.",
465,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"to achieve this, we integrate gaze data as a form of weak supervision for both
lesion positioning and interpretability of the model.",
466,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"our experimental results on mammography datasets demonstrate the superiority of
our proposed model.",
467,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"• we evaluate the performance of petnet on five widely adopted datasets,
demonstrating its superior ability to identify polyp camouflage and small polyp
scenes, achieving state-of-the-art performance in locating polyps with high
precision.",
468,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"when training the model on other datasets, we use the tumor set collected from
the inbreast dataset.",
469,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"to achieve this goal, we create a synthetic dataset, which has separate
annotations for normal kidneys and protruded regions, and train a segmentation
network to separate the protruded regions from the normal kidney regions.",
470,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"verify that the proposed framework achieves a higher dice score compared to the
standard 3d u-net using a publicly available dataset.",
471,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"the release of two public ct image datasets with kidney and tumor masks from the
2019/2021 kidney and kidney tumor segmentation challenge looking at the top 3
teams from each challenge in terms of focusing on protruded regions in kidneys,
our work is close to the second protuberance detection network is the same as
the base network except it starts from 8 channels instead of 16.",
472,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,we train this network using synthetic datasets.,
473,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,the details of the dataset and training procedures are described in sect.,
474,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,synthetic dataset.,
475,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"however, annotating such areas is time-consuming and preparing a large number of
data is challenging.",
476,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"alternatively, we create a synthetic dataset that mimics a kidney with
protrusions.",
477,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,the synthetic dataset is created through the following steps: 1.,
478,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"if both of the following conditions are met, append to the dataset.",
479,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"although our network is fully differentiable, since there is no separate
annotation for protruded regions other from the synthetic dataset, we freeze the
parameters in protuberance detection network.",
480,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"to cope with isodensity tumors, which have similar intensity values to their
surrounding tissues, we created a synthetic dataset to train a network that
extracts protuberance from the kidney masks.",
481,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"we evaluated our method using the publicly available kits19 dataset, and showed
that the proposed method can achieve a higher sensitivity than existing
approach.",
482,Skin Lesion Correspondence Localization in Total Body Photography,"the framework is evaluated on a private dataset and a public dataset with
success rates that are comparable to those of the state-of-the-art method.",
483,Skin Lesion Correspondence Localization in Total Body Photography,"in addition, the method may not work well with longitudinal data that has
non-isometric deformation due to huge variations in body shape, inconsistent 3d
reconstruction, or a dramatic change in pose and, therefore, topology, such as
an open armpit versus a closed one.",
484,Skin Lesion Correspondence Localization in Total Body Photography,"in the future, the method needs to be evaluated on longitudinal data with longer
duration and new lesions absent in the target.",
485,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"studies suggest that one way to improve these factors is through data centric
approaches i.e.",
486,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,to focus on appropriate representation of data.,
487,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"specifically, representation of data as graphs has been shown to be effective
for medical diagnosis and analysis biological data, specially those acquired
intra-opertively, are heterogeneous by nature.",
488,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"while the use of ex-vivo data collected under specific protocols are beneficial
to develop baseline models, intra-operative deployment of these models is
challenging.",
489,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"for iknife, the ex-vivo data is usually collected from homogeneous regions of
resected specimens under the guidance of a trained pathologist, versus the
intra-operative data is recorded continuously while the surgeon cutting through
tissues with different heterogeneity and pathology.",
490,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"deep ensembles ex-vivo: data is collected from fresh breast tissue samples from
the patients referred to bcs at kingston health sciences center over two years.",
491,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"in addition to spectral data, clinicopathological details such as the status of
hormone receptors is also provided post-surgically.",
492,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"evidential deep learning provides a welldefined theoretical framework to jointly
quantify classification prediction and uncertainty modeling by assuming the
class probability follows a dirichlet distribution in the context of surgical
margin assessment, the attentions reveal the relevant metabolic ranges to
cancerous tissue, while uncertainty helps identify and filter data with unseen
pathology.",
493,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"the mris were acquired with philips ingenia all mris were resampled to 1 mm
isotropic voxels and uniformly sized, resulting in volumes of 352 × 352 pixel
images with 176 slices per mri, and subsequent registration was performed based
on advanced normalization tools (ants) we have developed a multi-sequence fusion
network based on multi-b-value dwi to synthesize ce-mri, using source data
including dwis and t1-weighted fatsuppressed mri.",
494,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"compared to existing methods, we avoid the challenges of using full-sequence mri
and aim to be selective on valuable source data dwi.",
495,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,"ji measures similarity of two datasets, which ranges from 0% to 100%.",
496,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,"due to both real patients and synthetic patients were involved in delineation,
to erase the delineation memory of the same patient, we separated the patients
to two datasets, each with the same number of patients, both two datasets with
mixed real patients and synthetic patients without overlaps (i.e., the ce-mri
and vce-mri from the same patient are not in the same dataset).when finished the
first dataset delineation, there was a one-month interval before the delineation
of the second dataset.",
497,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,"the average ji obtained from institution-1, institution-2, and institution-3
dataset were similar with a result of 71.54%, 74.78% and 75.85%, respectively.",
498,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,"for the institution-2 data, all synthetic patients observed the same stages as
real patients.",
499,Automated CT Lung Cancer Screening Workflow Using 3D Camera,none,
500,Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,none,
501,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"to achieve this, we efficiently exploit knowledge from multi-center datasets
that are not tailored for second-course gtv segmentation.",
502,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"medical images are sparsely labeled which are isolated by different tasks in
order to fully leverage both public and private datasets, the training objective
should not be specific to any tasks.",
503,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"to adequately monitor changes in tumor volume and integrate information from the
initial course into the subsequent course, a paired first-second courses dataset
s p = {i 1 p , i 2 p , g 1 p ; g 2 p } is necessary for training.",
504,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"the paired dataset s p for the first and second courses is limited, whereas an
unpaired gtv dataset s v = {i v ; g v } can be easily obtained in a standard
clinical workflow with a substantial amount.",
505,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"the transformed data is feed into the encoders e 1/2 as shown in the following
equations: , p 1 (g e ), p 2 (i e ), p 2 (g e ), when i e , g e ∈ s e .",
506,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,datasets.,
507,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"the paired first-second course dataset, s p , is collected from sun yat-sen
university cancer center (ethics approval number: b2023-107-01), comprising
paired ct scans of 69 distinct patients from south china.",
508,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"we collected the gtv dataset s v from medmind technology co., ltd., which has ct
scans from 179 patients.",
509,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"to demonstrate the presence of a domain gap between the first and second
courses, we train sota methods with datasets s train p and s v , by feeding the
data sequentially into the network.",
510,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,the results presented in table figure combination of various datasets.,
511,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"besides, to efficiently leverage prior knowledge contained in various medical ct
datasets, we train the network in an information-querying manner.",
512,CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,none,
513,EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,"on the one hand, inspired by the emerging prompt learning techniques that embed
prompts into a model for adaptation to diverse downstream tasks our
contributions can be summarized as: (3) a domain mixup strategy is devised to
reduce the co-artifacts specific to dermoscopic images; (4) extensive
experiments on four out-of-distribution skin datasets and six biased isic
datasets demonstrate the outperforming generalization ability and robustness of
epvt under heterogeneous distribution shifts.",
514,Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,real-world pnens dataset.,
515,Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,we validated our method on a real-world pnens dataset from two centers.,
516,Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,"the dataset contained 264 and 28 patients in center 1 and center 2, and a senior
radiologist annotated the bounding boxes for all 408 and 28 lesions.",
517,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"five-fold cross validation is performed on the dataset in all experiments to
verify our proposed network.",
518,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"for external validation, we further test our model on two independent
publicly-available datasets collected by stu-hospital (dataset 1) to verify the
advantages of our proposed model for breast tumor segmentation in ultrasound
images, we compare our deep-supervised convolutional network with the
state-ofthe-art tumor segmentation methods, including deepres representative
segmentation results using different methods are provided in fig.",
519,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"using a large clinical dataset, our proposed model demonstrates not only
state-of-the-art segmentation performance, but also the outstanding
generalizability to new ultrasound data from different sites.",
520,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,segmentation performance on all three datasets.,
521,Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,data measurements.,
522,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,her2 dataset.,
523,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,"human epidermal growth factor receptor 2 (her2 or her2/neu) is a protein
involved in normal cell growth, which plays an important role in the diagnosis
and treatment of breast cancer deep clustering models applied to the her2
dataset.",
524,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,"we evaluate the performance and behavior of the dec, vade, and cdvade models on
the her2 dataset.",
525,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,"we investigate whether the models will learn to distinguish the her2 class
labels, the scanner labels, or other potentially meaningful data subgroups in a
fully unsupervised fashion.",
526,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,"to investigate the clustering abilities of cdvade on the her2 dataset, we inject
the her2 class labels into the latent embedding space.",
527,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"this paper constructed a bp dataset with the most commonly used bp mris in our
clinical practice.",
528,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"the major contributions of this study include 1) directed triangle construction
idea for tpp, 2) huge number of tpp matrices as the heterogeneity
representations of bp, 3) tppnet with 15 layers and huge number of channels, 4)
the bp dataset containing mr images and their corresponding roi masks.",
529,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"to testify our proposed tppnet, a bp dataset is constructed with 452 series
including three most commonly used mr sequences in clinical practice, i.e.",
530,CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,"we evaluate our circleformer on the public monuseg dataset for nuclei detection
in whole slide images.",
531,Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,"to demonstrate the utility of tap for a diverse set of specimen and microscopy
modalities we use the following four different datasets: hela.",
532,Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,"for each dataset we heuristically choose δt to roughly correspond to the time
scale of observable biological processes (i.e.",
533,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,"compared to the full fine-tuning method, our method achieved a relative
improvement of 1.29% to 13.61% in accuracy and 3.22% to 27.18% in auroc on the
three datasets.",
