,Title,Authors,Page numbers,DOI,Year of publication,Part of publication
368,M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector,"Yen Nhi Truong Vu, Dan Guo, Ahmed Taha, Jason Su, Thomas Paul Matthews",778-788,10.1007/978-3-031-43904-9_75,2023,05
369,Convolving Directed Graph Edges via Hodge Laplacian for Brain Network Analysis,"Joonhyuk Park, Yechan Hwang, Minjeong Kim, Moo K. Chung, Guorong Wu, Won Hwa Kim",789-799,10.1007/978-3-031-43904-9_76,2023,05
370,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"Haojun Yu, Youcheng Li, QuanLin Wu, Ziwei Zhao, Dengbo Chen, Dong Wang et al.",3-13,10.1007/978-3-031-43987-2_1,2023,06
371,Combat Long-Tails in Medical Classification with Relation-Aware Consistency and Virtual Features Compensation,"Li Pan, Yupei Zhang, Qiushi Yang, Tan Li, Zhen Chen",14-23,10.1007/978-3-031-43987-2_2,2023,06
372,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"Wei Feng, Lie Ju, Lin Wang, Kaimin Song, Zongyuan Ge",24-33,10.1007/978-3-031-43987-2_3,2023,06
373,Joint Segmentation and Sub-pixel Localization in Structured Light Laryngoscopy,"Jann-Ole Henningson, Marion Semmler, Michael Döllinger, Marc Stamminger",34-43,10.1007/978-3-031-43987-2_4,2023,06
374,A Style Transfer-Based Augmentation Framework for Improving Segmentation and Classification Performance Across Different Sources in Ultrasound Images,"Bin Huang, Ziyue Xu, Shing-Chow Chan, Zhong Liu, Huiying Wen, Chao Hou et al.",44-53,10.1007/978-3-031-43987-2_5,2023,06
375,HC-Net: Hybrid Classification Network for Automatic Periodontal Disease Diagnosis,"Lanzhuju Mei, Yu Fang, Zhiming Cui, Ke Deng, Nizhuan Wang, Xuming He et al.",54-63,10.1007/978-3-031-43987-2_6,2023,06
376,SegNetr: Rethinking the Local-Global Interactions and Skip Connections in U-Shaped Networks,"Junlong Cheng, Chengrui Gao, Fengjie Wang, Min Zhu",64-74,10.1007/978-3-031-43987-2_7,2023,06
377,Gradient and Feature Conformity-Steered Medical Image Classification with Noisy Labels,"Xiaohan Xing, Zhen Chen, Zhifan Gao, Yixuan Yuan",75-84,10.1007/978-3-031-43987-2_8,2023,06
378,Multi-modality Contrastive Learning for Sarcopenia Screening from Hip X-rays and Clinical Information,"Qiangguo Jin, Changjiang Zou, Hui Cui, Changming Sun, Shu-Wei Huang, Yi-Jie Kuo et al.",85-94,10.1007/978-3-031-43987-2_9,2023,06
379,DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification,"Yijun Yang, Huazhu Fu, Angelica I. Aviles-Rivero, Carola-Bibiane Schönlieb, Lei Zhu",95-105,10.1007/978-3-031-43987-2_10,2023,06
380,Whole-Heart Reconstruction with Explicit Topology Integrated Learning,"Huilin Yang, Roger Tam, Xiaoying Tang",106-115,10.1007/978-3-031-43987-2_11,2023,06
381,Enhancing Automatic Placenta Analysis Through Distributional Feature Recomposition in Vision-Language Contrastive Learning,"Yimu Pan, Tongan Cai, Manas Mehta, Alison D. Gernand, Jeffery A. Goldstein, Leena Mithal et al.",116-126,10.1007/978-3-031-43987-2_12,2023,06
382,Frequency-Mixed Single-Source Domain Generalization for Medical Image Segmentation,"Heng Li, Haojin Li, Wei Zhao, Huazhu Fu, Xiuyun Su, Yan Hu et al.",127-136,10.1007/978-3-031-43987-2_13,2023,06
383,A Semantic-Guided and Knowledge-Based Generative Framework for Orthodontic Visual Outcome Preview,"Yizhou Chen, Xiaojun Chen",137-147,10.1007/978-3-031-43987-2_14,2023,06
384,A Multi-task Method for Immunofixation Electrophoresis Image Classification,"Yi Shi, Rui-Xiang Li, Wen-Qi Shao, Xin-Cen Duan, Han-Jia Ye, De-Chuan Zhan et al.",148-158,10.1007/978-3-031-43987-2_15,2023,06
385,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,"Zhi Cao, Weijing Zhang, Keke Chen, Di Zhao, Daoqiang Zhang, Hongen Liao et al.",159-168,10.1007/978-3-031-43987-2_16,2023,06
386,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,"Haojie Han, Hongen Liao, Daoqiang Zhang, Wentao Kong, Fang Chen",169-179,10.1007/978-3-031-43987-2_17,2023,06
387,Polar Eyeball Shape Net for 3D Posterior Ocular Shape Representation,"Jiaqi Zhang, Yan Hu, Xiaojuan Qi, Ting Meng, Lihui Wang, Huazhu Fu et al.",180-190,10.1007/978-3-031-43987-2_18,2023,06
388,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"Zhenghao Feng, Lu Wen, Peng Wang, Binyu Yan, Xi Wu, Jiliu Zhou et al.",191-201,10.1007/978-3-031-43987-2_19,2023,06
389,A Novel Multi-task Model Imitating Dermatologists for Accurate Differential Diagnosis of Skin Diseases in Clinical Images,"Yan-Jie Zhou, Wei Liu, Yuan Gao, Jing Xu, Le Lu, Yuping Duan et al.",202-212,10.1007/978-3-031-43987-2_20,2023,06
390,Wall Thickness Estimation from Short Axis Ultrasound Images via Temporal Compatible Deformation Learning,"Ang Zhang, Guijuan Peng, Jialan Zheng, Jun Cheng, Xiaohua Liu, Qian Liu et al.",213-222,10.1007/978-3-031-43987-2_21,2023,06
391,Mitral Regurgitation Quantification from Multi-channel Ultrasound Images via Deep Learning,"Keming Tang, Zhenyi Ge, Rongbo Ling, Jun Cheng, Wufeng Xue, Cuizhen Pan et al.",223-232,10.1007/978-3-031-43987-2_22,2023,06
392,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,"Jiangdong Cai, Honglin Xiong, Maosong Cao, Luyan Liu, Lichi Zhang, Qian Wang",233-242,10.1007/978-3-031-43987-2_23,2023,06
393,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"Maosong Cao, Manman Fei, Jiangdong Cai, Luyan Liu, Lichi Zhang, Qian Wang",243-252,10.1007/978-3-031-43987-2_24,2023,06
394,Improving Pathology Localization: Multi-series Joint Attention Takes the Lead,"Ashwin Raju, Micha Kornreich, Colin Hansen, James Browning, Jayashri Pawar, Richard Herzog et al.",253-262,10.1007/978-3-031-43987-2_25,2023,06
395,Detection of Basal Cell Carcinoma in Whole Slide Images,"Hongyan Xu, Dadong Wang, Arcot Sowmya, Ian Katz",263-272,10.1007/978-3-031-43987-2_26,2023,06
396,SCOL: Supervised Contrastive Ordinal Loss for Abdominal Aortic Calcification Scoring on Vertebral Fracture Assessment Scans,"Afsah Saleem, Zaid Ilyas, David Suter, Ghulam Mubashar Hassan, Siobhan Reid, John T. Schousboe et al.",273-283,10.1007/978-3-031-43987-2_27,2023,06
397,STAR-Echo: A Novel Biomarker for Prognosis of MACE in Chronic Kidney Disease Patients Using Spatiotemporal Analysis and Transformer-Based Radiomics Models,"Rohan Dhamdhere, Gourav Modanwal, Mohamed H. E. Makhlouf, Neda Shafiabadi Hassani, Satvika Bharadwaj, Pingfu Fu et al.",284-294,10.1007/978-3-031-43987-2_28,2023,06
398,Interpretable Deep Biomarker for Serial Monitoring of Carotid Atherosclerosis Based on Three-Dimensional Ultrasound Imaging,"Xueli Chen, Xinqi Fan, Bernard Chiu",295-305,10.1007/978-3-031-43987-2_29,2023,06
399,Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk,"Jinpeng Li, Hanqun Cao, Jiaze Wang, Furui Liu, Qi Dou, Guangyong Chen et al.",306-316,10.1007/978-3-031-43987-2_30,2023,06
400,TCEIP: Text Condition Embedded Regression Network for Dental Implant Position Prediction,"Xinquan Yang, Jinheng Xie, Xuguang Li, Xuechen Li, Xin Li, Linlin Shen et al.",317-326,10.1007/978-3-031-43987-2_31,2023,06
401,Vision Transformer Based Multi-class Lesion Detection in IVOCT,"Zixuan Wang, Yifan Shao, Jingyi Sun, Zhili Huang, Su Wang, Qiyong Li et al.",327-336,10.1007/978-3-031-43987-2_32,2023,06
402,Accurate and Robust Patient Height and Weight Estimation in Clinical Imaging Using a Depth Camera,"Birgi Tamersoy, Felix Alexandru Pîrvan, Santosh Pai, Ankur Kapoor",337-346,10.1007/978-3-031-43987-2_33,2023,06
403,AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes,"Elena Denisova, Leonardo Manetti, Leonardo Bocchi, Ernesto Iadanza",347-357,10.1007/978-3-031-43987-2_34,2023,06
404,Transformer-Based End-to-End Classification of Variable-Length Volumetric Data,"Marzieh Oghbaie, Teresa Araujo, Taha Emre, Ursula Schmidt-Erfurth, Hrvoje Bogunovic",358-367,10.1007/978-3-031-43987-2_35,2023,06
405,ProtoASNet: Dynamic Prototypes for Inherently Interpretable and Uncertainty-Aware Aortic Stenosis Classification in Echocardiography,"Hooman Vaseli, Ang Nan Gu, S. Neda Ahmadi Amiri, Michael Y. Tsang, Andrea Fung, Nima Kondori et al.",368-378,10.1007/978-3-031-43987-2_36,2023,06
406,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"Xueyang Li, Han Xiao, Weixiang Weng, Xiaowei Xu, Yiyu Shi",379-388,10.1007/978-3-031-43987-2_37,2023,06
407,Diffusion-Based Hierarchical Multi-label Object Detection to Analyze Panoramic Dental X-Rays,"Ibrahim Ethem Hamamci, Sezgin Er, Enis Simsar, Anjany Sekuboyina, Mustafa Gundogar, Bernd Stadlinger et al.",389-399,10.1007/978-3-031-43987-2_38,2023,06
408,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"Mingyuan Meng, Lei Bi, Michael Fulham, Dagan Feng, Jinman Kim",400-410,10.1007/978-3-031-43987-2_39,2023,06
409,Coupling Bracket Segmentation and Tooth Surface Reconstruction on 3D Dental Models,"Yuwen Tan, Xiang Xiang, Yifeng Chen, Hongyi Jing, Shiyang Ye, Chaoran Xue et al.",411-420,10.1007/978-3-031-43987-2_40,2023,06
410,TSegFormer: 3D Tooth Segmentation in Intraoral Scans with Geometry Guided Transformer,"Huimin Xiong, Kunle Li, Kaiyuan Tan, Yang Feng, Joey Tianyi Zhou, Jin Hao et al.",421-432,10.1007/978-3-031-43987-2_41,2023,06
411,Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model,"Thanaporn Viriyasaranon, Serie Ma, Jang-Hwan Choi",433-443,10.1007/978-3-031-43987-2_42,2023,06
412,Cross-View Deformable Transformer for Non-displaced Hip Fracture Classification from Frontal-Lateral X-Ray Pair,"Zhonghang Zhu, Qichang Chen, Lequan Yu, Lianxin Wang, Defu Zhang, Baptiste Magnier et al.",444-453,10.1007/978-3-031-43987-2_43,2023,06
413,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"Mengkang Lu, Tianyi Wang, Yong Xia",457-466,10.1007/978-3-031-43987-2_44,2023,06
414,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"Hongyi Wang, Luyang Luo, Fang Wang, Ruofeng Tong, Yen-Wei Chen, Hongjie Hu et al.",467-476,10.1007/978-3-031-43987-2_45,2023,06
415,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"Michael Gadermayr, Lukas Koller, Maximilian Tschuchnig, Lea Maria Stangassinger, Christina Kreutzer, Sebastien Couillard-Despres et al.",477-486,10.1007/978-3-031-43987-2_46,2023,06
416,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,"Zhenrong Shen, Maosong Cao, Sheng Wang, Lichi Zhang, Qian Wang",487-496,10.1007/978-3-031-43987-2_47,2023,06
417,Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-Empowered Learning,"Ruining Deng, Yanwei Li, Peize Li, Jiacheng Wang, Lucas W. Remedios, Saydolimkhon Agzamkhodjaev et al.",497-507,10.1007/978-3-031-43987-2_48,2023,06
418,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"Ting Jin, Xingran Xie, Renjie Wan, Qingli Li, Yan Wang",508-517,10.1007/978-3-031-43987-2_49,2023,06
419,Artifact Restoration in Histology Images with Diffusion Probabilistic Models,"Zhenqi He, Junjun He, Jin Ye, Yiqing Shen",518-527,10.1007/978-3-031-43987-2_50,2023,06
420,Forensic Histopathological Recognition via a Context-Aware MIL Network Powered by Self-supervised Contrastive Learning,"Chen Shen, Jun Zhang, Xinggong Liang, Zeyi Hao, Kehan Li, Fan Wang et al.",528-538,10.1007/978-3-031-43987-2_51,2023,06
421,Segment Membranes and Nuclei from Histopathological Images via Nuclei Point-Level Supervision,"Hansheng Li, Zhengyang Xu, Mo Zhou, Xiaoshuang Shi, Yuxin Kang, Qirong Bu et al.",539-548,10.1007/978-3-031-43987-2_52,2023,06
422,StainDiff: Transfer Stain Styles of Histology Images with Denoising Diffusion Probabilistic Models and Self-ensemble,"Yiqing Shen, Jing Ke",549-559,10.1007/978-3-031-43987-2_53,2023,06
423,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"Qin Ren, Yu Zhao, Bing He, Bingzhe Wu, Sijie Mai, Fan Xu et al.",560-569,10.1007/978-3-031-43987-2_54,2023,06
424,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,"Lanfeng Zhong, Xin Liao, Shaoting Zhang, Guotai Wang",570-579,10.1007/978-3-031-43987-2_55,2023,06
425,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,"Junchao Zhu, Yiqing Shen, Haolin Zhang, Jing Ke",580-590,10.1007/978-3-031-43987-2_56,2023,06
426,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,"Shengcong Chen, Changxing Ding, Dacheng Tao, Hao Chen",591-601,10.1007/978-3-031-43987-2_57,2023,06
427,Multi-scale Prototypical Transformer for Whole Slide Image Classification,"Saisai Ding, Jun Wang, Juncheng Li, Jun Shi",602-611,10.1007/978-3-031-43987-2_58,2023,06
428,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"Yawen Wu, Yingli Zuo, Qi Zhu, Jianpeng Sheng, Daoqiang Zhang, Wei Shao",612-621,10.1007/978-3-031-43987-2_59,2023,06
429,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"Kexin Ding, Mu Zhou, Dimitris N. Metaxas, Shaoting Zhang",622-631,10.1007/978-3-031-43987-2_60,2023,06
430,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,06
431,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"Zichen Wang, Mara Pleasure, Haoyue Zhang, Kimberly Flores, Anthony Sisk, William Speier et al.",642-651,10.1007/978-3-031-43987-2_62,2023,06
432,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"Manman Fei, Xin Zhang, Maosong Cao, Zhenrong Shen, Xiangyu Zhao, Zhiyun Song et al.",652-661,10.1007/978-3-031-43987-2_63,2023,06
433,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,"Mengxue Sun, Wenhui Huang, Yuanjie Zheng",662-672,10.1007/978-3-031-43987-2_64,2023,06
434,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,"Long Chen, Han Li, S. Kevin Zhou",673-682,10.1007/978-3-031-43987-2_65,2023,06
435,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"Jing Wei Tan, Won-Ki Jeong",683-692,10.1007/978-3-031-43987-2_66,2023,06
436,Zero-Shot Nuclei Detection via Visual-Language Pre-trained Models,"Yongjian Wu, Yang Zhou, Jiya Saiyin, Bingzheng Wei, Maode Lai, Jianzhong Shou et al.",693-703,10.1007/978-3-031-43987-2_67,2023,06
437,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"Parmida Ghahremani, Joseph Marino, Juan Hernandez-Prera, Janis V. de la Iglesia, Robbert J. C. Slebos, Christine H. Chung et al.",704-713,10.1007/978-3-031-43987-2_68,2023,06
438,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"Kun Wu, Yushan Zheng, Jun Shi, Fengying Xie, Zhiguo Jiang",714-724,10.1007/978-3-031-43987-2_69,2023,06
439,A One-Class Variational Autoencoder (OCVAE) Cascade for Classifying Atypical Bone Marrow Cell Sub-types,"Jonathan Tarquino, Jhonathan Rodriguez, Charlems Alvarez-Jimenez, Eduardo Romero",725-734,10.1007/978-3-031-43987-2_70,2023,06
440,MulHiST: Multiple Histological Staining for Thick Biological Samples via Unsupervised Image-to-Image Translation,"Lulin Shi, Yan Zhang, Ivy H. M. Wong, Claudia T. K. Lo, Terence T. W. Wong",735-744,10.1007/978-3-031-43987-2_71,2023,06
441,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,"Wentai Hou, Yan He, Bingjian Yao, Lequan Yu, Rongshan Yu, Feng Gao et al.",745-754,10.1007/978-3-031-43987-2_72,2023,06
442,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"Ziyu Guo, Weiqin Zhao, Shujun Wang, Lequan Yu",755-764,10.1007/978-3-031-43987-2_73,2023,06
443,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.",765-775,10.1007/978-3-031-43987-2_74,2023,06
444,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"Jacob Gildenblat, Anil Yüce, Samaneh Abbasi-Sureshjani, Konstanty Korski",776-785,10.1007/978-3-031-43987-2_75,2023,06
445,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,"Aman Shrivastava, P. Thomas Fletcher",786-796,10.1007/978-3-031-43987-2_76,2023,06
446,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"Sara Arabyarmohammadi, German Corredor, Yufei Zhou, Miguel López de Rodas, Kurt Schalper, Anant Madabhushi",797-807,10.1007/978-3-031-43987-2_77,2023,06
447,Source-Free Domain Adaptation for Medical Image Segmentation via Prototype-Anchored Feature Alignment and Contrastive Learning,"Qinji Yu, Nan Xi, Junsong Yuan, Ziyu Zhou, Kang Dang, Xiaowei Ding",3-12,10.1007/978-3-031-43990-2_1,2023,07
448,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"Taro Hatsutani, Akimichi Ichinose, Keigo Nakamura, Yoshiro Kitamura",13-22,10.1007/978-3-031-43990-2_2,2023,07
449,Eye-Guided Dual-Path Network for Multi-organ Segmentation of Abdomen,"Chong Wang, Daoqiang Zhang, Rongjun Ge",23-32,10.1007/978-3-031-43990-2_3,2023,07
450,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,"Meng Han, Xiangde Luo, Wenjun Liao, Shichuan Zhang, Shaoting Zhang, Guotai Wang",33-42,10.1007/978-3-031-43990-2_4,2023,07
451,Geometry-Adaptive Network for Robust Detection of Placenta Accreta Spectrum Disorders,"Zailiang Chen, Jiang Zhu, Hailan Shen, Hui Liu, Yajing Li, Rongchang Zhao et al.",43-53,10.1007/978-3-031-43990-2_5,2023,07
452,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"Xin Wang, Tao Tan, Yuan Gao, Luyi Han, Tianyu Zhang, Chunyao Lu et al.",57-67,10.1007/978-3-031-43990-2_6,2023,07
453,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"Changkai Ji, Changde Du, Qing Zhang, Sheng Wang, Chong Ma, Jiaming Xie et al.",68-78,10.1007/978-3-031-43990-2_7,2023,07
454,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"Tianyu Zhang, Luyi Han, Anna DAngelo, Xin Wang, Yuan Gao, Chunyao Lu et al.",79-88,10.1007/978-3-031-43990-2_8,2023,07
455,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"Meiyu Li, Kaicong Sun, Yuning Gu, Kai Zhang, Yiqun Sun, Zhenhui Li et al.",89-96,10.1007/978-3-031-43990-2_9,2023,07
456,Towards Expert-Amateur Collaboration: Prototypical Label Isolation Learning for Left Atrium Segmentation with Mixed-Quality Labels,"Zhe Xu, Jiangpeng Yan, Donghuan Lu, Yixin Wang, Jie Luo, Yefeng Zheng et al.",99-109,10.1007/978-3-031-43990-2_10,2023,07
457,Conditional Physics-Informed Graph Neural Network for Fractional Flow Reserve Assessment,"Baihong Xie, Xiujian Liu, Heye Zhang, Chenchu Xu, Tieyong Zeng, Yixuan Yuan et al.",110-120,10.1007/978-3-031-43990-2_11,2023,07
458,Semantic Difference Guidance for the Uncertain Boundary Segmentation of CT Left Atrial Appendage,"Xin You, Ming Ding, Minghui Zhang, Yangqian Wu, Yi Yu, Yun Gu et al.",121-131,10.1007/978-3-031-43990-2_12,2023,07
459,DMCVR: Morphology-Guided Diffusion Model for 3D Cardiac Volume Reconstruction,"Xiaoxiao He, Chaowei Tan, Ligong Han, Bo Liu, Leon Axel, Kang Li et al.",132-142,10.1007/978-3-031-43990-2_13,2023,07
460,A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy,"Haoran Dou, Nishant Ravikumar, Alejandro F. Frangi",143-152,10.1007/978-3-031-43990-2_14,2023,07
461,Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,"Weihang Dai, Xiaomeng Li, Taihui Yu, Di Zhao, Jun Shen, Kwang-Ting Cheng",153-162,10.1007/978-3-031-43990-2_15,2023,07
462,A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,07
463,ModusGraph: Automated 3D and 4D Mesh Model Reconstruction from Cine CMR with Improved Accuracy and Efficiency,"Yu Deng, Hao Xu, Sashya Rodrigo, Steven E. Williams, Michelle C. Williams, Steven A. Niederer et al.",173-183,10.1007/978-3-031-43990-2_17,2023,07
464,Twelve-Lead ECG Reconstruction from Single-Lead Signals Using Generative Adversarial Networks,"Jinho Joo, Gihun Joo, Yeji Kim, Moo-Nyun Jin, Junbeom Park, Hyeonseung Im",184-194,10.1007/978-3-031-43990-2_18,2023,07
465,Forward-Solution Aided Deep-Learning Framework for Patient-Specific Noninvasive Cardiac Ectopic Pacing Localization,"Yashi Li, Huihui Ye, Huafeng Liu",195-205,10.1007/978-3-031-43990-2_19,2023,07
466,Tensor-Based Multimodal Learning for Prediction of Pulmonary Arterial Wedge Pressure from Cardiac MRI,"Prasun C. Tripathi, Mohammod N. I. Suvon, Lawrence Schobs, Shuo Zhou, Samer Alabed, Andrew J. Swift et al.",206-215,10.1007/978-3-031-43990-2_20,2023,07
467,Virtual Heart Models Help Elucidate the Role of Border Zone in Sustained Monomorphic Ventricular Tachycardia,"Eduardo Castañeda, Masahito Suzuki, Hiroshi Ashikaga, Èric Lluch, Felix Meister, Viorel Mihalef et al.",216-225,10.1007/978-3-031-43990-2_21,2023,07
468,PCMC-T1: Free-Breathing Myocardial T1 Mapping with Physically-Constrained Motion Correction,"Eyal Hanania, Ilya Volovik, Lilach Barkat, Israel Cohen, Moti Freiman",226-235,10.1007/978-3-031-43990-2_22,2023,07
469,Machine Learning for Automated Mitral Regurgitation Detection from Cardiac Imaging,"Ke Xiao, Erik Learned-Miller, Evangelos Kalogerakis, James Priest, Madalina Fiterau",236-246,10.1007/978-3-031-43990-2_23,2023,07
470,EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,"Siyuan Yan, Chi Liu, Zhen Yu, Lie Ju, Dwarikanath Mahapatra, Victoria Mar et al.",249-259,10.1007/978-3-031-43990-2_24,2023,07
471,Skin Lesion Correspondence Localization in Total Body Photography,"Wei-Lun Huang, Davood Tashayyod, Jun Kang, Amir Gandjbakhche, Michael Kazhdan, Mehran Armand",260-269,10.1007/978-3-031-43990-2_25,2023,07
472,"FEDD - Fair, Efficient, and Diverse Diffusion-Based Lesion Segmentation and Malignancy Classification","Héctor Carrión, Narges Norouzi",270-279,10.1007/978-3-031-43990-2_26,2023,07
473,Improving Automatic Fetal Biometry Measurement with Swoosh Activation Function,"Shijia Zhou, Euijoon Ahn, Hao Wang, Ann Quinton, Narelle Kennedy, Pradeeba Sridar et al.",283-292,10.1007/978-3-031-43990-2_27,2023,07
474,Robust Estimation of the Microstructure of the Early Developing Brain Using Deep Learning,"Hamza Kebiri, Ali Gholipour, Rizhong Lin, Lana Vasung, Davood Karimi, Meritxell Bach Cuadra",293-303,10.1007/978-3-031-43990-2_28,2023,07
475,HACL-Net: Hierarchical Attention and Contrastive Learning Network for MRI-Based Placenta Accreta Spectrum Diagnosis,"Mingxuan Lu, Tianyu Wang, Hao Zhu, Mian Li",304-314,10.1007/978-3-031-43990-2_29,2023,07
476,UM-CAM: Uncertainty-weighted Multi-resolution Class Activation Maps for Weakly-supervised Fetal Brain Segmentation,"Jia Fu, Tao Lu, Shaoting Zhang, Guotai Wang",315-324,10.1007/978-3-031-43990-2_30,2023,07
477,ASC: Appearance and Structure Consistency for Unsupervised Domain Adaptation in Fetal Brain MRI Segmentation,"Zihang Xu, Haifan Gong, Xiang Wan, Haofeng Li",325-335,10.1007/978-3-031-43990-2_31,2023,07
478,Simulation-Based Parameter Optimization for Fetal Brain MRI Super-Resolution Reconstruction,"Priscille de Dumast, Thomas Sanchez, Hélène Lajous, Meritxell Bach Cuadra",336-346,10.1007/978-3-031-43990-2_32,2023,07
479,TabAttention: Learning Attention Conditionally on Tabular Data,"Michal K. Grzeszczyk, Szymon Plotka, Beata Rebizant, Katarzyna Kosinska-Kaczynska, Michal Lipa, Robert Brawura-Biskupski-Samaha et al.",347-357,10.1007/978-3-031-43990-2_33,2023,07
480,An Automated Pipeline for Quantitative T2* Fetal Body MRI and Segmentation at Low Field,"Kelly Payette, Alena Uus, Jordina Aviles Verdera, Carla Avena Zampieri, Megan Hall, Lisa Story et al.",358-367,10.1007/978-3-031-43990-2_34,2023,07
481,Medical Phrase Grounding with Region-Phrase Context Contrastive Alignment,"Zhihao Chen, Yang Zhou, Anh Tran, Junting Zhao, Liang Wan, Gideon Su Kai Ooi et al.",371-381,10.1007/978-3-031-43990-2_35,2023,07
482,Topology Repairing of Disconnected Pulmonary Airways and Vessels: Baselines and a Dataset,"Ziqiao Weng, Jiancheng Yang, Dongnan Liu, Weidong Cai",382-392,10.1007/978-3-031-43990-2_36,2023,07
483,AirwayFormer: Structure-Aware Boundary-Adaptive Transformers for Airway Anatomical Labeling,"Weihao Yu, Hao Zheng, Yun Gu, Fangfang Xie, Jiayuan Sun, Jie Yang",393-402,10.1007/978-3-031-43990-2_37,2023,07
484,CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,"Yiming Lei, Zilong Li, Yan Shen, Junping Zhang, Hongming Shan",403-412,10.1007/978-3-031-43990-2_38,2023,07
